time,memory,io_read_count,io_write_count,io_read,io_write,cpu_util_avg,cpu_util_min,cpu_util_max,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,cpu_util_6,cpu_util_7,cpu_util_8,cpu_util_9,cpu_util_10,cpu_util_11,cpu_util_12,cpu_util_13,cpu_util_14,cpu_util_15,cpu_util_16,cpu_util_17,cpu_util_18,cpu_util_19,cpu_util_20,cpu_util_21,cpu_util_22,cpu_util_23,cpu_util_24,cpu_util_25,cpu_util_26,cpu_util_27,cpu_util_28,cpu_util_29,cpu_util_30,cpu_util_31,cpu_util_32,cpu_util_33,cpu_util_34,cpu_util_35,cpu_util_36,cpu_util_37,cpu_util_38,cpu_util_39,cpu_util_40,cpu_util_41,cpu_util_42,cpu_util_43,cpu_util_44,cpu_util_45,cpu_util_46,cpu_util_47,cpu_util_48,cpu_util_49,cpu_util_50,cpu_util_51,cpu_util_52,cpu_util_53,cpu_util_54,cpu_util_55,cpu_util_56,cpu_util_57,cpu_util_58,cpu_util_59,cpu_util_60,cpu_util_61,cpu_util_62,cpu_util_63,gpu_util_avg,gpu_util_min,gpu_util_max,gpu_band_avg,gpu_band_min,gpu_band_max,gpu_mem_avg,gpu_mem_min,gpu_mem_max,gpu_power_avg,gpu_power_min,gpu_power_max,gpu_util_0,gpu_band_0,gpu_mem_0,gpu_power_0,cell_index
11781794.922170956,106.34978866577148,38108405.35162222,30900.843140662266,36457487.389736526,4039463.409706999,36.6703125,0.0,100.0,47.5,64.9,39.2,96.0,50.0,75.8,45.1,45.6,54.5,53.5,34.7,73.5,31.3,2.0,65.0,51.5,100.0,100.0,8.2,59.8,16.2,4.1,1.0,0.0,4.1,3.0,1.0,3.0,2.0,1.0,2.0,37.4,58.6,100.0,4.1,96.9,15.3,10.3,2.0,100.0,17.5,5.1,5.0,1.0,40.4,1.0,46.6,41.8,27.6,59.6,68.4,100.0,58.4,100.0,100.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,63.0,39.4,100.0,100,100,0.0,0.0,0.0,58.9417724609375,58.9417724609375,58.9417724609375,650.502,650.502,650.502,100,0.0,58.9417724609375,650.502,5
11781795.921178535,106.40478134155273,38210274.68133273,30956.722102988355,36523414.605867215,4046768.0978885205,36.746875,0.0,100.0,7.1,33.0,74.0,92.1,44.3,71.7,43.3,44.1,58.0,100.0,1.0,47.5,32.7,16.3,59.0,47.5,100.0,100.0,0.0,70.4,17.0,1.0,0.0,0.0,5.1,10.2,5.0,5.1,21.2,0.0,2.0,2.0,99.0,100.0,0.0,100.0,100.0,0.0,4.0,50.5,47.5,5.1,4.0,31.3,6.1,5.0,45.7,39.6,60.2,19.4,56.0,100.0,100.0,46.5,100.0,10.0,7.1,0.0,1.0,2.0,0.0,2.0,60.2,39.0,100.0,100,100,0.0,0.0,0.0,58.9417724609375,58.9417724609375,58.9417724609375,676.106,676.106,676.106,100,0.0,58.9417724609375,676.106,5
11781796.922039447,106.44003677368164,38172414.8822713,30901.396594441394,36455782.75271634,4039274.5371498684,36.1125,0.0,100.0,58.4,21.2,100.0,98.0,42.4,91.1,42.2,41.7,89.9,35.0,2.0,2.9,27.7,1.0,58.2,42.7,100.0,100.0,0.0,18.0,17.0,55.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,2.0,2.0,1.0,100.0,100.0,0.0,100.0,100.0,1.0,24.0,46.5,2.0,1.0,0.0,46.0,1.0,1.0,42.9,38.5,100.0,100.0,0.0,100.0,49.5,0.0,100.0,45.5,19.2,36.7,1.0,0.0,0.0,0.0,59.4,37.6,100.0,100,100,0.0,0.0,0.0,58.9417724609375,58.9417724609375,58.9417724609375,685.122,685.122,685.122,100,0.0,58.9417724609375,685.122,5
11781797.921663446,106.42792510986328,38252585.0102319,30939.633333085385,36500892.37204754,4044272.6505625197,36.21875,0.0,100.0,100.0,61.0,53.5,67.7,4.0,100.0,43.3,43.6,56.0,85.9,0.0,31.3,59.0,23.8,60.4,47.1,100.0,99.0,0.0,71.7,18.8,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,1.0,0.0,3.0,100.0,50.0,1.0,73.0,99.0,3.0,82.8,45.5,28.0,2.0,0.0,46.0,0.0,0.0,46.2,42.3,100.0,100.0,2.0,100.0,1.0,0.0,100.0,2.0,31.0,25.3,0.0,0.0,0.0,0.0,60.2,39.6,100.0,100,100,0.0,0.0,0.0,58.9417724609375,58.9417724609375,58.9417724609375,683.893,683.893,683.893,100,0.0,58.9417724609375,683.893,5
11781798.920828514,106.41545867919922,38308633.124772064,30956.84687912914,36517657.78116003,4050229.6685884716,36.4015625,0.0,100.0,50.5,3.0,78.4,94.2,2.9,71.3,42.9,43.3,32.4,60.2,13.7,87.3,96.1,79.6,60.4,47.1,100.0,83.3,0.0,51.0,9.9,26.5,1.0,0.0,1.0,1.0,2.0,1.0,2.9,0.0,2.9,1.0,100.0,74.5,1.9,0.0,79.2,42.9,21.6,2.0,100.0,12.0,0.0,20.8,2.0,21.6,44.8,39.6,41.2,100.0,20.6,100.0,5.9,88.3,100.0,1.0,55.4,2.9,2.0,2.0,0.0,1.0,62.1,37.6,98.0,98,98,0.0,0.0,0.0,58.9417724609375,58.9417724609375,58.9417724609375,606.516,606.516,606.516,98,0.0,58.9417724609375,606.516,5
11781799.92149238,106.57143020629883,38284156.47477003,30910.479603403342,36462961.50302128,4044163.2201375193,36.659375,0.0,100.0,4.1,67.7,82.8,35.7,74.5,54.0,44.7,45.1,100.0,18.2,49.5,67.3,2.0,41.4,63.4,50.5,98.0,97.0,0.0,55.0,19.0,15.2,0.0,2.0,4.0,1.0,3.0,2.0,0.0,2.0,3.1,12.1,86.9,96.0,0.0,0.0,32.3,3.1,48.5,42.4,20.2,96.0,0.0,4.1,0.0,26.3,45.6,42.3,98.0,100.0,7.0,100.0,68.0,51.5,100.0,2.0,57.0,1.0,0.0,0.0,1.0,0.0,63.3,39.4,99.0,99,99,0.0,0.0,0.0,58.9417724609375,58.9417724609375,58.9417724609375,549.137,549.137,549.137,99,0.0,58.9417724609375,549.137,5
11781800.922763543,106.69868087768555,38293822.2699948,30891.731541584646,36440845.7071772,4041710.323157956,36.653125,0.0,100.0,5.9,88.0,30.0,100.0,100.0,71.0,43.3,44.1,42.4,70.7,60.0,55.6,35.4,68.0,59.6,47.6,44.4,45.5,2.0,26.5,13.1,49.0,0.0,0.0,2.0,2.0,0.0,3.0,17.2,0.0,0.0,7.1,40.0,14.1,0.0,0.0,100.0,3.0,25.0,100.0,28.7,28.6,69.4,5.0,1.0,15.2,46.7,42.4,62.2,100.0,20.0,100.0,93.9,19.2,100.0,35.4,46.5,9.1,3.0,1.0,0.0,2.0,62.0,39.0,99.0,99,99,0.0,0.0,0.0,58.9417724609375,58.9417724609375,58.9417724609375,546.525,546.525,546.525,99,0.0,58.9417724609375,546.525,5
11781801.921237301,106.61502075195312,38434083.71749219,30978.28035634866,36542941.3763924,4053033.9110771995,36.2234375,0.0,100.0,20.8,65.0,78.2,76.8,77.0,53.0,42.7,43.1,17.8,36.6,71.7,84.2,34.0,39.6,59.0,43.6,100.0,100.0,6.9,37.6,6.0,39.6,1.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,100.0,1.0,1.0,0.0,100.0,2.0,100.0,100.0,22.2,91.2,8.0,4.0,0.0,20.8,45.2,40.2,3.0,100.0,1.0,34.3,2.9,49.0,100.0,89.0,55.9,4.0,0.0,0.0,0.0,0.0,59.8,38.6,99.0,99,99,0.0,0.0,0.0,58.9417724609375,58.9417724609375,58.9417724609375,547.085,547.085,547.085,99,0.0,58.9417724609375,547.085,5
11781802.923963794,106.72046661376953,38303938.56418375,30846.896141158373,36387956.476706125,4035844.2971470198,36.2765625,0.0,100.0,48.5,39.0,92.1,30.4,86.0,20.2,44.3,44.1,70.3,69.4,27.7,42.4,100.0,4.1,63.4,49.0,99.0,100.0,17.2,27.0,2.0,45.5,0.0,0.0,4.1,4.0,14.9,1.0,2.0,12.2,2.0,2.0,100.0,22.8,0.0,0.0,20.0,44.4,100.0,100.0,13.0,89.9,9.0,4.0,0.0,31.0,44.2,40.2,96.0,99.0,1.0,36.7,2.0,5.1,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,62.2,37.4,99.0,99,99,0.0,0.0,0.0,58.9417724609375,58.9417724609375,58.9417724609375,548.473,548.473,548.473,99,0.0,58.9417724609375,548.473,5
11781803.922992822,106.78214263916016,38481437.42527009,30961.062346360362,36522630.477195196,4050781.1979646226,36.4296875,0.0,100.0,58.0,4.0,0.0,82.8,88.1,9.1,42.7,42.2,56.6,42.2,47.0,100.0,69.3,83.0,57.4,44.1,100.0,100.0,17.8,7.1,0.0,65.0,0.0,0.0,3.0,0.0,1.0,4.0,18.0,37.6,4.0,4.0,100.0,100.0,0.0,0.0,27.6,3.0,100.0,100.0,44.0,68.7,32.7,8.9,1.0,0.0,43.7,39.8,4.0,100.0,43.0,13.0,12.0,2.0,100.0,99.0,6.1,0.0,0.0,0.0,0.0,0.0,57.4,37.6,99.0,99,99,0.0,0.0,0.0,58.9417724609375,58.9417724609375,58.9417724609375,545.01,545.01,545.01,99,0.0,58.9417724609375,545.01,5
