time,memory,io_read_count,io_write_count,io_read,io_write,cpu_util_avg,cpu_util_min,cpu_util_max,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,cpu_util_6,cpu_util_7,gpu_util_avg,gpu_util_min,gpu_util_max,gpu_band_avg,gpu_band_min,gpu_band_max,gpu_mem_avg,gpu_mem_min,gpu_mem_max,gpu_power_avg,gpu_power_min,gpu_power_max,gpu_util_0,gpu_band_0,gpu_mem_0,gpu_power_0,cell_index
11776251.671537008,5.1160888671875,112888273.56383125,203187.20187698054,2098972.2073715883,13516233.140047124,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,49.0,49.0,49.0,0.0,0.0,0.0,11.2421875,11.2421875,11.2421875,267.344,267.344,267.344,49.0,0.0,11.2421875,267.344,5
11776252.675784426,5.1160888671875,112351586.8842257,202161.33636702268,2088282.1933049667,13447395.295559522,20.400000000000002,20.400000000000002,20.400000000000002,20.400000000000002,20.400000000000002,20.400000000000002,20.400000000000002,20.400000000000002,20.400000000000002,20.400000000000002,20.400000000000002,57.0,57.0,57.0,0.0,0.0,0.0,11.2421875,11.2421875,11.2421875,269.678,269.678,269.678,57.0,0.0,11.2421875,269.678,5
11776253.673589027,5.1160888671875,113109990.58902249,203468.69502137633,2101766.2159838313,13538330.0396771,19.15,19.15,19.15,19.15,19.15,19.15,19.15,19.15,19.15,19.15,19.15,60.0,60.0,60.0,0.0,0.0,0.0,11.2421875,11.2421875,11.2421875,248.579,248.579,248.579,60.0,0.0,11.2421875,248.579,5
11776254.66638692,5.1160888671875,113713529.05583714,204501.84425797232,2112365.483203361,13606604.2257904,18.9625,18.9625,18.9625,18.9625,18.9625,18.9625,18.9625,18.9625,18.9625,18.9625,18.9625,50.0,50.0,50.0,0.0,0.0,0.0,11.2421875,11.2421875,11.2421875,268.443,268.443,268.443,50.0,0.0,11.2421875,268.443,5
11776255.67394262,5.1160888671875,112080587.6102066,201514.41734786166,2081425.3725670828,13407306.403762186,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,57.0,57.0,57.0,0.0,0.0,0.0,11.2421875,11.2421875,11.2421875,268.516,268.516,268.516,57.0,0.0,11.2421875,268.516,5
11776256.672619192,5.1160888671875,113110003.94686669,203306.06093462306,2099931.107636375,13526509.361298367,19.075,19.075,19.075,19.075,19.075,19.075,19.075,19.075,19.075,19.075,19.075,55.0,55.0,55.0,0.0,0.0,0.0,11.2421875,11.2421875,11.2421875,245.333,245.333,245.333,55.0,0.0,11.2421875,245.333,5
11776257.661864035,5.1160888671875,114221665.96143034,205251.51225898316,2119952.4213320813,13655474.7764711,18.7625,18.7625,18.7625,18.7625,18.7625,18.7625,18.7625,18.7625,18.7625,18.7625,18.7625,48.0,48.0,48.0,0.0,0.0,0.0,11.2421875,11.2421875,11.2421875,268.942,268.942,268.942,48.0,0.0,11.2421875,268.942,5
11776258.673962587,5.1160888671875,111680412.64659908,200625.7191718191,2072082.7971643799,13347127.080172118,19.0625,19.0625,19.0625,19.0625,19.0625,19.0625,19.0625,19.0625,19.0625,19.0625,19.0625,59.0,59.0,59.0,0.0,0.0,0.0,11.2421875,11.2421875,11.2421875,270.802,270.802,270.802,59.0,0.0,11.2421875,270.802,5
11776259.674885202,5.1160888671875,112960248.21351756,202866.8320768504,2095218.9202066,13496156.247737046,18.7625,18.7625,18.7625,18.7625,18.7625,18.7625,18.7625,18.7625,18.7625,18.7625,18.7625,61.0,61.0,61.0,0.0,0.0,0.0,11.2421875,11.2421875,11.2421875,247.707,247.707,247.707,61.0,0.0,11.2421875,247.707,5
11776260.65159588,5.1160888671875,115794119.63670844,207905.98971762464,2147157.852442067,13830716.01045691,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,48.0,48.0,48.0,0.0,0.0,0.0,11.2421875,11.2421875,11.2421875,265.552,265.552,265.552,48.0,0.0,11.2421875,265.552,5
11776261.790795004,5.1160888671875,99306817.00167221,178260.31955786448,1840900.290935396,11857986.639658077,19.6625,19.6625,19.6625,19.6625,19.6625,19.6625,19.6625,19.6625,19.6625,19.6625,19.6625,85.0,85.0,85.0,0.0,0.0,0.0,11.2421875,11.2421875,11.2421875,235.458,235.458,235.458,85.0,0.0,11.2421875,235.458,5
11776262.792750508,5.1160888671875,112944148.3116199,202678.66114891475,2093059.0155645395,13482243.424476271,19.1125,19.1125,19.1125,19.1125,19.1125,19.1125,19.1125,19.1125,19.1125,19.1125,19.1125,51.0,51.0,51.0,0.0,0.0,0.0,11.2421875,11.2421875,11.2421875,248.723,248.723,248.723,51.0,0.0,11.2421875,248.723,5
11776263.792846972,5.1160888671875,113187837.38850608,203065.41139060535,2096949.7187317174,13507305.024174226,20.375,20.375,20.375,20.375,20.375,20.375,20.375,20.375,20.375,20.375,20.375,92.0,92.0,92.0,0.0,0.0,0.0,11.2421875,11.2421875,11.2421875,268.062,268.062,268.062,92.0,0.0,11.2421875,268.062,5
11776264.789755853,5.1160888671875,113585502.3304795,203722.7312521195,2103654.6473332164,13550494.193173725,19.3625,19.3625,19.3625,19.3625,19.3625,19.3625,19.3625,19.3625,19.3625,19.3625,19.3625,84.0,84.0,84.0,0.0,0.0,0.0,11.2421875,11.2421875,11.2421875,270.054,270.054,270.054,84.0,0.0,11.2421875,270.054,5
11776265.791284297,5.1160888671875,113094413.54834624,202784.05597327207,2093951.5128583782,13487992.362122912,19.075,19.075,19.075,19.075,19.075,19.075,19.075,19.075,19.075,19.075,19.075,93.0,93.0,93.0,0.0,0.0,0.0,11.2421875,11.2421875,11.2421875,249.192,249.192,249.192,93.0,0.0,11.2421875,249.192,5
