time,memory,io_read_count,io_write_count,io_read,io_write,cpu_util_avg,cpu_util_min,cpu_util_max,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,cpu_util_6,cpu_util_7,cpu_util_8,cpu_util_9,cpu_util_10,cpu_util_11,cpu_util_12,cpu_util_13,cpu_util_14,cpu_util_15,cpu_util_16,cpu_util_17,cpu_util_18,cpu_util_19,cpu_util_20,cpu_util_21,cpu_util_22,cpu_util_23,cpu_util_24,cpu_util_25,cpu_util_26,cpu_util_27,cpu_util_28,cpu_util_29,cpu_util_30,cpu_util_31,cpu_util_32,cpu_util_33,cpu_util_34,cpu_util_35,cpu_util_36,cpu_util_37,cpu_util_38,cpu_util_39,cpu_util_40,cpu_util_41,cpu_util_42,cpu_util_43,cpu_util_44,cpu_util_45,cpu_util_46,cpu_util_47,cpu_util_48,cpu_util_49,cpu_util_50,cpu_util_51,cpu_util_52,cpu_util_53,cpu_util_54,cpu_util_55,cpu_util_56,cpu_util_57,cpu_util_58,cpu_util_59,cpu_util_60,cpu_util_61,cpu_util_62,cpu_util_63,gpu_util_avg,gpu_util_min,gpu_util_max,gpu_band_avg,gpu_band_min,gpu_band_max,gpu_mem_avg,gpu_mem_min,gpu_mem_max,gpu_power_avg,gpu_power_min,gpu_power_max,gpu_util_0,gpu_band_0,gpu_mem_0,gpu_power_0,cell_index
11775479.848404298,81.39876556396484,87054077.39588471,197940.0653709507,2099772.9002686995,13033356.009870952,13.418750000000001,0.0,100.0,3.0,78.1,49.5,3.0,9.1,40.2,40.2,51.5,0.0,42.1,27.1,0.0,0.0,0.0,49.5,51.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,78.9,26.5,3.0,2.0,1.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.7,50.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,28.3,0.0,1.0,2.0,0.0,0.0,35.7,36.4,61.0,61,61,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,239.884,239.884,239.884,61,0.0,6.4652099609375,239.884,5
11775480.847987097,81.39722061157227,87014411.48630035,197783.51545045737,2098027.298769139,13022521.006813133,13.765625,0.0,100.0,40.8,78.6,4.0,39.8,0.0,13.0,38.2,50.5,1.0,25.5,42.1,0.0,0.0,0.0,53.9,53.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,85.9,5.9,15.8,16.0,0.0,2.0,100.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,35.7,50.5,32.4,6.9,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7,39.4,55.0,55,55,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,240.772,240.772,240.772,55,0.0,6.4652099609375,240.772,5
11775481.849324755,81.39755630493164,86894564.73697674,197443.8874831423,2094350.474047822,12999698.840867145,13.21875,0.0,100.0,6.3,84.0,3.1,32.3,52.6,5.2,38.8,49.0,0.0,42.4,25.5,0.0,0.0,0.0,50.0,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1,0.0,2.0,1.0,1.0,0.0,0.0,77.4,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,6.3,0.0,0.0,0.0,0.0,34.7,49.5,0.0,52.5,0.0,1.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,34.7,38.0,82.0,82,82,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,242.637,242.637,242.637,82,0.0,6.4652099609375,242.637,5
11775482.849475296,81.39643096923828,87030382.37281825,197678.2413507845,2096836.3404883991,13015128.691547133,13.3796875,0.0,100.0,4.9,78.0,1.0,39.4,48.5,3.9,38.7,49.5,17.2,1.0,49.0,1.0,0.0,0.0,51.0,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,78.6,1.9,2.9,1.0,0.0,0.0,100.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,34.7,49.5,4.9,2.0,0.0,0.0,0.0,0.0,14.9,51.5,0.0,1.0,0.0,0.0,0.0,0.0,36.3,37.5,59.0,59,59,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,228.407,228.407,228.407,59,0.0,6.4652099609375,228.407,5
11775483.849404017,81.39872360229492,87082383.20654829,197730.09414269525,2097301.4950309615,13018015.920328898,13.1515625,0.0,100.0,24.7,77.1,2.0,54.2,12.4,4.0,40.4,50.0,25.0,1.0,43.6,0.0,0.0,0.0,49.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,82.8,1.0,0.0,0.0,0.0,0.0,100.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,34.0,50.5,0.0,0.0,25.5,0.0,0.0,0.0,0.0,29.7,1.0,0.0,0.0,0.0,0.0,0.0,35.1,39.2,59.0,59,59,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,241.774,241.774,241.774,59,0.0,6.4652099609375,241.774,5
11775484.852104288,81.3955307006836,86874833.39936578,197191.52941493274,2091504.3712224364,12982032.991689263,13.2734375,0.0,100.0,44.9,84.4,3.1,46.9,1.0,5.2,38.0,49.0,12.5,0.0,55.6,0.0,0.0,0.0,51.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,80.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,34.4,51.0,0.0,0.0,56.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,35.4,38.0,69.0,69,69,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,243.802,243.802,243.802,69,0.0,6.4652099609375,243.802,5
11775485.849079944,81.39826965332031,87411403.10015503,198333.82960881086,2103513.7479228503,13056575.568161756,13.315625,0.0,100.0,53.5,78.8,1.0,35.4,4.0,10.6,39.3,50.5,30.6,1.0,35.4,0.0,0.0,0.0,49.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,78.6,0.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,51.0,0.0,0.0,48.5,1.0,0.0,3.8,0.0,6.9,1.0,1.0,1.0,0.0,0.0,0.0,35.6,38.7,61.0,61,61,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,229.663,229.663,229.663,61,0.0,6.4652099609375,229.663,5
11775486.850333404,81.39668655395508,87070585.53845331,197487.45745006728,2094526.5955259488,13000792.032385673,13.278125,0.0,100.0,3.0,78.1,1.0,26.0,48.5,18.2,39.4,52.0,12.2,0.0,55.9,0.0,0.0,0.0,52.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,85.7,0.0,1.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,32.6,50.5,0.0,1.0,25.3,0.0,0.0,0.0,0.0,29.6,1.0,1.0,0.0,1.0,2.0,1.0,35.1,38.2,60.0,60,60,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,237.449,237.449,237.449,60,0.0,6.4652099609375,237.449,5
11775487.844242418,81.40076446533203,87746880.98952444,198953.82488464192,2110004.0040278574,13096860.790626036,13.5515625,0.0,100.0,4.0,80.6,3.0,38.1,51.5,4.0,39.0,49.5,30.2,14.6,21.9,0.0,0.0,0.0,50.0,52.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,77.9,0.0,0.0,0.0,0.0,0.0,100.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,36.1,50.5,2.0,1.0,2.0,1.0,0.0,0.0,14.0,53.5,1.0,1.0,0.0,0.0,1.0,1.0,36.4,37.6,60.0,60,60,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,239.257,239.257,239.257,60,0.0,6.4652099609375,239.257,5
11775488.849996552,81.39698028564453,86745966.11422083,196625.59006857357,2085153.7465854012,12942614.466110166,13.3109375,0.0,100.0,4.0,82.1,1.0,60.8,28.4,6.1,39.2,50.5,0.0,29.8,37.9,0.0,0.0,0.0,50.5,49.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,81.2,3.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.8,51.5,0.0,1.0,47.5,1.0,0.0,0.0,2.0,9.1,1.0,0.0,1.0,0.0,0.0,0.0,34.0,38.0,82.0,82,82,0.0,0.0,0.0,6.4652099609375,6.4652099609375,6.4652099609375,244.509,244.509,244.509,82,0.0,6.4652099609375,244.509,5
